"Date","Price","Open","High","Low","Vol.","Change %"
"30-04-2025","24,394.50","24,451.00","24,493.50","24,230.50","52.65K","-0.15%"
"29-04-2025","24,430.00","24,418.50","24,581.00","24,385.00","52.40K","-0.16%"
"28-04-2025","24,469.50","24,196.50","24,510.50","24,176.50","67.96K","1.58%"
"25-04-2025","24,088.00","24,513.00","24,546.50","23,969.00","72.10K","-0.65%"
"24-04-2025","24,246.70","24,280.00","24,363.00","24,223.00","25.08K","-0.27%"
"23-04-2025","24,311.50","24,449.00","24,456.00","24,128.50","77.37K","0.56%"
"22-04-2025","24,177.00","24,074.50","24,387.00","24,074.50","114.20K","0.11%"
"21-04-2025","24,150.00","23,924.50","24,193.50","23,790.00","108.43K","1.04%"
"18-04-2025","23,900.50","23,833.00","23,975.00","23,811.00","3.88K","0.40%"
"17-04-2025","23,805.00","23,291.00","23,979.50","23,291.00","88.90K","1.43%"
"16-04-2025","23,469.00","23,304.50","23,494.50","23,233.00","59.30K","0.36%"
"15-04-2025","23,384.50","23,303.00","23,452.50","23,277.50","73.60K","0.17%"
"14-04-2025","23,345.50","23,134.50","23,420.00","23,134.50","24.98K","1.40%"
"11-04-2025","23,022.50","22,977.50","23,158.00","22,804.00","89.07K","-0.97%"
"10-04-2025","23,247.00","23,300.00","23,340.00","22,710.00","39.17K","3.38%"
"09-04-2025","22,487.00","22,596.00","23,438.00","22,290.00","85.36K","-0.49%"
"08-04-2025","22,598.50","22,599.50","22,977.00","22,315.00","106.15K","1.25%"
"07-04-2025","22,320.00","22,063.50","22,754.00","21,828.50","143.80K","-2.78%"
"04-04-2025","22,959.00","23,200.00","23,240.50","22,313.00","100.30K","-1.51%"
"03-04-2025","23,310.00","23,094.00","23,393.00","23,011.50","59.72K","-0.51%"
"02-04-2025","23,430.50","23,295.00","23,553.00","23,125.00","47.23K","0.53%"
"01-04-2025","23,308.00","23,501.00","23,652.50","23,221.00","72.86K","-0.26%"
"31-03-2025","23,368.50","23,464.00","23,538.00","23,326.50","24.78K","-1.14%"
"28-03-2025","23,637.50","23,742.50","23,782.50","23,490.00","66.23K","0.19%"
"27-03-2025","23,591.95","23,476.00","23,652.00","23,464.00","30.29K","0.26%"
"26-03-2025","23,530.00","23,767.50","23,771.00","23,465.00","87.30K","-0.63%"
"25-03-2025","23,679.00","23,733.00","23,898.00","23,669.50","138.97K","-0.07%"
"24-03-2025","23,695.00","23,476.50","23,750.00","23,445.50","119.62K","1.15%"
"21-03-2025","23,426.00","23,205.00","23,478.50","23,166.00","86.96K","1.10%"
"20-03-2025","23,170.00","23,060.50","23,234.50","23,018.00","67.75K","0.78%"
"19-03-2025","22,990.00","22,937.50","23,102.50","22,872.00","50.83K","0.42%"
"18-03-2025","22,894.50","22,736.50","22,949.50","22,682.00","71.35K","1.27%"
"17-03-2025","22,608.00","22,605.00","22,759.50","22,496.50","59.59K","0.29%"
"14-03-2025","22,543.50","22,445.00","22,588.00","22,400.00","19.90K","0.56%"
"13-03-2025","22,418.50","22,539.50","22,599.00","22,335.00","49.75K","-0.58%"
"12-03-2025","22,550.00","22,549.50","22,604.50","22,368.00","53.45K","-0.05%"
"11-03-2025","22,561.00","22,368.50","22,584.50","22,290.50","56.96K","0.30%"
"10-03-2025","22,494.50","22,630.00","22,718.00","22,348.50","53.69K","-0.59%"
"07-03-2025","22,628.00","22,525.00","22,728.00","22,490.00","53.10K","0.21%"
"06-03-2025","22,581.50","22,446.00","22,644.50","22,339.50","77.81K","0.72%"
"05-03-2025","22,420.50","22,100.00","22,490.50","22,099.50","68.16K","1.24%"
"04-03-2025","22,146.00","22,102.00","22,215.00","21,990.50","59.76K","-0.51%"
"03-03-2025","22,258.50","22,352.50","22,418.00","21,827.00","55.03K","-0.05%"
"28-02-2025","22,270.00","22,559.00","22,560.00","22,137.00","74.28K","-1.22%"
"27-02-2025","22,545.05","22,575.00","22,601.50","22,530.50","27.81K","-0.33%"
"26-02-2025","22,620.50","22,669.50","22,678.00","22,573.50","19.86K","0.20%"
"25-02-2025","22,575.00","22,644.00","22,674.00","22,552.50","91.22K","-0.05%"
"24-02-2025","22,586.00","22,653.50","22,714.00","22,525.00","119.18K","-0.90%"
"21-02-2025","22,792.00","22,888.50","22,931.50","22,601.00","82.60K","-0.51%"
"20-02-2025","22,908.00","22,949.50","22,964.00","22,840.00","50.72K","-0.22%"
"19-02-2025","22,959.00","22,969.50","23,093.00","22,872.00","45.98K","0.08%"
"18-02-2025","22,940.50","23,064.50","23,067.50","22,826.00","56.79K","-0.30%"
"17-02-2025","23,010.00","22,876.50","23,058.00","22,820.00","53.07K","0.34%"
"14-02-2025","22,931.50","23,199.50","23,217.00","22,832.00","69.79K","-0.71%"
"13-02-2025","23,095.50","23,095.00","23,298.50","23,050.00","45.73K","0.03%"
"12-02-2025","23,089.00","23,138.00","23,226.50","22,881.00","70.48K","-0.17%"
"11-02-2025","23,127.50","23,485.50","23,500.00","23,045.50","52.42K","-1.29%"
"10-02-2025","23,430.00","23,579.00","23,602.50","23,373.50","49.84K","-0.66%"
"07-02-2025","23,586.00","23,668.50","23,781.00","23,475.00","51.88K","-0.45%"
"06-02-2025","23,693.00","23,801.00","23,819.00","23,644.00","45.03K","-0.24%"
"05-02-2025","23,750.50","23,848.50","23,877.00","23,745.50","40.84K","-0.09%"
"04-02-2025","23,772.50","23,524.50","23,874.50","23,479.50","80.94K","1.53%"
"03-02-2025","23,414.00","23,440.00","23,575.00","23,282.00","61.69K","-0.57%"
"01-02-2025","23,548.50","23,593.50","23,690.50","23,417.00","1.22K","-0.34%"
"31-01-2025","23,630.00","23,489.50","23,633.50","23,395.00","44.62K","1.64%"
"30-01-2025","23,249.50","23,165.00","23,314.50","23,124.50","41.86K","0.40%"
"29-01-2025","23,157.50","23,025.50","23,220.00","22,968.50","51.61K","0.72%"
"28-01-2025","22,992.50","22,926.00","23,166.00","22,874.00","93.35K","0.80%"
"27-01-2025","22,810.50","23,012.50","23,064.00","22,761.50","121.44K","-1.39%"
"24-01-2025","23,131.00","23,302.50","23,373.00","23,069.00","77.54K","-0.54%"
"23-01-2025","23,257.50","23,154.00","23,310.00","23,119.50","55.36K","0.36%"
"22-01-2025","23,175.00","23,139.50","23,213.50","23,006.50","69.84K","0.25%"
"21-01-2025","23,117.00","23,440.00","23,472.00","23,036.50","82.23K","-1.01%"
"20-01-2025","23,354.00","23,284.00","23,578.50","23,206.00","43.97K","0.50%"
"17-01-2025","23,237.50","23,308.00","23,338.50","23,137.50","53.83K","-0.61%"
"16-01-2025","23,379.00","23,400.00","23,449.50","23,305.00","48.11K","0.50%"
"15-01-2025","23,262.00","23,304.00","23,420.50","23,193.50","47.68K","-0.01%"
"14-01-2025","23,265.00","23,252.00","23,346.50","23,192.50","56.18K","0.59%"
"13-01-2025","23,129.50","23,318.00","23,394.00","23,095.50","64.46K","-1.62%"
"10-01-2025","23,509.50","23,504.00","23,670.00","23,280.50","53.81K","-0.64%"
"09-01-2025","23,660.00","23,700.50","23,731.00","23,565.50","39.31K","-0.40%"
"08-01-2025","23,755.00","23,738.50","23,828.50","23,585.00","50.45K","-0.01%"
"07-01-2025","23,758.00","23,758.50","23,875.50","23,672.00","51.20K","0.10%"
"06-01-2025","23,734.50","24,093.00","24,149.00","23,645.00","66.78K","-1.35%"
"03-01-2025","24,060.00","24,170.00","24,242.50","24,016.00","60.31K","-0.98%"
"02-01-2025","24,297.00","23,900.00","24,306.00","23,795.00","66.18K","1.76%"
"01-01-2025","23,877.00","23,725.50","23,936.50","23,680.00","12.88K","0.45%"
"31-12-2024","23,769.50","23,699.50","23,827.50","23,572.50","38.94K","-0.28%"
"30-12-2024","23,836.00","23,958.00","24,051.00","23,644.00","45.17K","-0.56%"
"27-12-2024","23,971.00","23,950.00","24,110.50","23,900.00","42.66K","0.93%"
"26-12-2024","23,750.20","23,830.00","23,867.00","23,637.50","37.29K","-0.27%"
