Date,Price,Open,High,Low,Vol.,Change %
02/13/2025,49359.85,49469.35,49836.1,49276.1,118.61M,-0.24%
02/12/2025,49479.45,49402.25,49702.35,48734.35,136.47M,0.15%
02/11/2025,49403.4,49812.15,49906.75,49177.4,127.02M,-1.16%
02/10/2025,49981,50052.5,50155.65,49703.1,98.42M,-0.35%
02/07/2025,50158.85,50484.45,50641.75,49871.15,178.73M,-0.44%
02/06/2025,50382.1,50468.35,50553.35,50149.8,158.40M,0.08%
02/05/2025,50343.05,50402.3,50522.15,50215.45,148.95M,0.37%
02/04/2025,50157.95,49538.8,50206.6,49482.5,155.66M,1.93%
02/03/2025,49210.55,49074.8,49373.45,48906.05,122.89M,-0.60%
02/01/2025,49506.95,49592.55,50009.5,48925.45,118.01M,-0.16%
01/31/2025,49587.2,49259.65,49674.8,49031.8,232.02M,0.56%
01/30/2025,49311.95,49206.2,49426.2,49031.8,197.91M,0.30%
01/29/2025,49165.95,48997.2,49199.65,48849.8,177.17M,0.61%
01/28/2025,48866.85,48642.5,49247.15,48449.05,299.94M,1.67%
01/27/2025,48064.65,47881.65,48319.2,47844.15,271.81M,-0.63%
01/24/2025,48367.8,48546.05,48858.65,48203,139.95M,-0.46%
01/23/2025,48589,48770.15,48892.7,48493,124.57M,-0.28%
01/22/2025,48724.4,48689.55,48781.75,48074.05,151.68M,0.32%
01/21/2025,48570.9,49532,49543.15,48430.95,134.69M,-1.58%
01/20/2025,49350.8,48834.15,49650.6,48683.6,173.12M,1.67%
01/17/2025,48540.6,48959.5,49047.2,48309.5,130.60M,-1.50%
01/16/2025,49278.7,49082.9,49459,49038.45,146.73M,1.08%
01/15/2025,48751.7,48832.75,49083.65,48522.4,145.11M,0.05%
01/14/2025,48729.15,48266.9,49007.35,48235.2,151.92M,1.43%
01/13/2025,48041.25,48264.25,48606.35,47898.35,168.78M,-1.42%
01/10/2025,48734.15,49426.5,49483.15,48631.2,142.39M,-1.55%
01/09/2025,49503.5,49712.55,49798.1,49230.15,136.38M,-0.67%
01/08/2025,49835.05,50201.75,50246.9,49389.75,131.18M,-0.73%
01/07/2025,50202.15,50061.2,50447.6,49969.3,103.83M,0.56%
01/06/2025,49922,50990.65,51026.1,49751,184.59M,-2.09%
01/03/2025,50988.8,51567.15,51671.6,50904.35,148.24M,-1.20%
01/02/2025,51605.55,51084.95,51672.75,50992.8,134.40M,1.07%
01/01/2025,51060.6,50841.9,51321.95,50485.05,81.13M,0.39%
12/31/2024,50860.2,50648.2,50945.55,50599.8,105.27M,-0.18%
12/30/2024,50952.75,51255.35,51979.75,50718.35,316.29M,-0.70%
12/27/2024,51311.3,51268.2,51628.45,51240.1,78.17M,0.27%
12/26/2024,51170.7,51395.8,51740,50951.8,91.27M,-0.12%
12/24/2024,51233,51314.95,51382.1,51137.5,112.05M,-0.16%
12/23/2024,51317.6,51044.4,51417.35,51030.4,110.85M,1.10%
12/20/2024,50759.2,51401.35,51629,50609.35,228.20M,-1.58%
12/19/2024,51575.7,51428.45,51789.85,51263.75,145.94M,-1.08%
12/18/2024,52139.55,52696.95,52827.6,52010.65,149.54M,-1.32%
12/17/2024,52834.8,53394.1,53515.7,52709.4,116.22M,-1.39%
12/16/2024,53581.35,53502.5,53738.9,53335,85.76M,0.00%
12/13/2024,53583.8,53109.8,53654,52264.55,139.91M,0.69%
12/12/2024,53216.45,53201,53537.45,53174.4,99.47M,-0.33%
12/11/2024,53391.35,53459.3,53648.05,53302.15,101.59M,-0.35%
12/10/2024,53577.7,53450.05,53624.05,53302.65,121.84M,0.32%
12/09/2024,53407.75,53380.75,53775.1,53326.4,121.82M,-0.19%
12/06/2024,53509.5,53634.2,53868.5,53160.65,209.37M,-0.18%
12/05/2024,53603.55,53354.45,53888.3,52850.35,155.61M,0.63%
12/04/2024,53266.9,52775,53387.1,52685.15,228.58M,1.08%
12/03/2024,52695.75,52357.95,52780.9,52216.85,173.56M,1.13%
12/02/2024,52109,52087.65,52197.25,51693.95,102.50M,0.10%
11/29/2024,52055.6,51984.15,52170.9,51759.45,139.63M,0.29%
11/28/2024,51906.85,52389.95,52760.2,51782.9,172.03M,-0.76%
11/27/2024,52301.8,52154.3,52444.35,52019.65,151.59M,0.21%
11/26/2024,52191.5,52554.9,52555.5,51999.75,113.12M,-0.03%
11/25/2024,52207.5,52046.35,52331.1,51774.05,458.46M,2.10%
11/22/2024,51135.4,50512.8,51271.5,50508.25,183.38M,1.51%
11/21/2024,50372.9,50625,50652.15,49787.1,254.62M,-0.50%
11/19/2024,50626.5,50580.55,50983.5,50440.85,185.76M,0.52%
11/18/2024,50363.8,50312.45,50445.8,50074,161.53M,0.37%
11/14/2024,50179.55,50053.45,50561.8,49939.35,133.89M,0.18%
11/13/2024,50088.35,51030.95,51353.5,49904.4,207.05M,-2.09%
11/12/2024,51157.8,52053.75,52169.05,51006.85,131.42M,-1.39%
11/11/2024,51876.75,51562.7,52177.7,51294.2,160.69M,0.61%
11/08/2024,51561.2,51869.15,52007.15,51494,157.23M,-0.68%
11/07/2024,51916.5,52258.95,52377.25,51752.25,160.48M,-0.77%
11/06/2024,52317.4,52440.4,52493.95,52185.4,219.10M,0.21%
11/05/2024,52207.25,51052.6,52289.55,50865.45,244.98M,1.94%
11/04/2024,51215.25,51764.5,51764.5,51066.8,320.47M,-0.89%
11/01/2024,51673.9,51550.15,51825.5,51459.4,51.35M,0.39%
10/31/2024,51475.35,51649.45,52005.6,51318.1,319.91M,-0.64%
10/30/2024,51807.5,51988.7,52220,51733,247.66M,-0.98%
10/29/2024,52320.7,51404.1,52354.85,51278.9,374.63M,2.07%
10/28/2024,51259.3,51061.35,51589.15,51012.55,447.57M,0.93%
10/25/2024,50787.45,51369.75,51501.05,50382.1,271.74M,-1.44%
10/24/2024,51531.15,51272.3,51781.55,51201.85,171.82M,0.57%
10/23/2024,51239,51117.8,51551.55,51107.9,208.11M,-0.04%
10/22/2024,51257.15,52071.35,52257.3,51179.6,203.95M,-1.36%
10/21/2024,51962.7,52361.1,52577.5,51855.15,145.73M,-0.25%
10/18/2024,52094.2,51261,52199.45,51000.9,139.08M,1.57%
10/17/2024,51288.8,51849.3,51930.2,51150.25,107.82M,-0.99%
10/16/2024,51801.05,51711.2,52031.6,51711.2,94.42M,-0.20%
10/15/2024,51906,51975.95,52022.05,51698.75,101.41M,0.17%
10/14/2024,51816.9,51263.25,51893,51220.85,126.59M,1.26%
10/11/2024,51172.3,51491.9,51560,51005.85,109.42M,-0.70%
10/10/2024,51530.9,51195.7,51659.45,51047,123.69M,1.03%
10/09/2024,51007,51161.75,51707.15,50903.75,310.00M,-0.03%
10/08/2024,51021,50736.1,51176.05,50466,153.21M,1.07%
10/07/2024,50478.9,51543.2,51784.8,50194.3,328.68M,-1.91%
10/04/2024,51462.05,51643.75,52358.35,51347.25,255.77M,-0.74%
10/03/2024,51845.2,52314.45,52582.95,51683.4,272.33M,-2.04%
10/01/2024,52922.6,52844,53235.25,52817.8,240.16M,-0.10%
09/30/2024,52978.1,53556.95,53726.4,52926.55,179.32M,-1.59%
09/27/2024,53834.3,54338.7,54338.7,53763.2,217.42M,-1.00%
09/26/2024,54375.35,54045.85,54467.35,54010.9,170.54M,0.51%
09/25/2024,54101.65,53794,54141.3,53792.85,184.56M,0.25%
09/24/2024,53968.6,54110.65,54247.7,53904.65,192.60M,-0.25%
09/23/2024,54105.8,53917.9,54197.95,53741.4,163.67M,0.58%
09/20/2024,53793.2,53235.8,54066.1,53037.6,271.88M,1.42%
09/19/2024,53037.6,52929.25,53353.3,52847.9,164.88M,0.54%
09/18/2024,52750.4,52177.1,52954.2,52154.55,205.13M,1.08%
09/17/2024,52188.65,52249.05,52284.6,52085.5,111.43M,0.07%
09/16/2024,52153.15,52038.7,52208.7,51921.45,93.78M,0.41%
09/13/2024,51938.05,51952.55,51994.1,51643.95,151.96M,0.32%
09/12/2024,51772.4,51271,51878.1,51025,127.90M,1.49%
09/11/2024,51010,51218.55,51420.15,50947.7,145.07M,-0.51%
09/10/2024,51272.3,51328.3,51366,50958.25,119.25M,0.30%
09/09/2024,51117.8,50549.25,51192.75,50369.4,172.39M,1.07%
09/06/2024,50576.85,51200.4,51380.05,50447.3,185.97M,-1.74%
09/05/2024,51473.05,51544.25,51636.75,51389.15,129.64M,0.14%
09/04/2024,51400.25,51364.65,51503.55,51259.9,159.70M,-0.56%
09/03/2024,51689.1,51479.75,51750.1,51240.05,127.20M,0.49%
09/02/2024,51439.55,51579.5,51579.5,51295.8,150.15M,0.17%
08/30/2024,51351,51437.45,51466.55,51256,478.57M,0.39%
08/29/2024,51152.75,51103.75,51368.95,50984.4,143.63M,0.02%
08/28/2024,51143.85,51208.95,51260.75,51033.7,128.09M,-0.26%
08/27/2024,51278.75,51214.05,51404.7,50938.1,111.42M,0.26%
08/26/2024,51148.1,51100.65,51317.85,51061.55,100.32M,0.42%
08/23/2024,50933.45,51040.05,51117.85,50856.7,88.48M,-0.10%
08/22/2024,50985.7,50894.8,51080,50794.45,133.06M,0.59%
08/21/2024,50685.55,50666.65,50772.45,50333.35,180.80M,-0.23%
08/20/2024,50803.15,50417.25,51025.6,50398.6,144.16M,0.86%
08/19/2024,50368.35,50683.55,50728.25,50283.55,115.32M,-0.29%
08/16/2024,50516.9,50133,50603.4,49806.05,130.69M,1.59%
08/14/2024,49727.3,49887.15,49959.25,49654.65,137.13M,-0.21%
08/13/2024,49831.85,50395.35,50559.25,49785.1,148.94M,-1.48%
08/12/2024,50577.95,50412.6,50830.7,50149.25,163.54M,0.19%
08/09/2024,50484.5,50612.1,50707.75,50386.45,120.15M,0.65%
08/08/2024,50156.7,50051.9,50440.75,49829.6,124.82M,0.08%
08/07/2024,50119,50286.2,50292.45,49782.2,170.99M,0.75%
08/06/2024,49748.3,50436.9,50688.8,49659.05,162.84M,-0.69%
08/05/2024,50092.1,50586.25,50747.55,49719.1,257.77M,-2.45%
08/02/2024,51350.15,51172.25,51608.7,51087.85,162.97M,-0.41%
08/01/2024,51564,51672.6,51877.15,51456.2,156.35M,0.02%
07/31/2024,51553.4,51583.45,51663.1,51335.7,219.03M,0.11%
07/30/2024,51499.3,51383.9,51957.75,51260.05,235.23M,0.18%
07/29/2024,51406.25,51546.65,52340.25,51186.95,513.70M,0.22%
07/26/2024,51295.95,50456.1,51398.6,50438.3,215.68M,0.80%
07/25/2024,50888.75,50762.3,51006.1,50559.9,188.41M,-0.83%
07/24/2024,51317,51657.65,51944.65,50784.25,292.24M,-0.89%
07/23/2024,51778.3,52511,52547.55,51342.65,207.78M,-0.96%
07/22/2024,52280.4,52145.6,52427,51874.55,175.25M,0.03%
07/19/2024,52265.6,52531.55,52586.75,52146.3,134.14M,-0.67%
07/18/2024,52620.7,52215.05,52782.75,52168.65,139.45M,0.43%
07/16/2024,52396.8,52466.7,52619.05,52331.6,158.80M,-0.11%
07/15/2024,52455.9,52330.05,52662.25,52154,186.15M,0.34%
07/12/2024,52278.9,52272.65,52794.55,52171.15,170.98M,0.02%
07/11/2024,52270.65,52316.9,52400.3,51749.45,138.31M,0.16%
07/10/2024,52189.3,52528.8,52528.8,52075.4,228.02M,-0.72%
07/09/2024,52568.8,52390.5,52626.6,52292.95,145.06M,0.27%
07/08/2024,52425.8,52533.1,52710.8,52246.7,158.00M,-0.45%
07/05/2024,52660.35,52560.1,52817.85,52290.05,199.57M,-0.83%
07/04/2024,53103.7,53357.7,53357.7,52815.9,163.67M,0.03%
07/03/2024,53089.25,52872.3,53256.7,52482.65,332.40M,1.77%
07/02/2024,52168.1,52793.75,52828.45,51996.65,194.68M,-0.77%
07/01/2024,52574.75,52351.15,52656.15,52166.05,139.06M,0.44%
06/28/2024,52342.25,52874.95,53030.3,52242.3,244.63M,-0.89%
06/27/2024,52811.3,52980.3,53180.75,52639,332.89M,-0.11%
06/26/2024,52870.5,52653.2,52988.3,52373.7,214.29M,0.50%
06/25/2024,52606,51759.45,52746.5,51747.65,204.03M,1.74%
06/24/2024,51703.95,51280.25,51783.95,51138.9,176.61M,0.08%
06/21/2024,51661.45,51927.3,51934.35,51224.95,289.44M,-0.24%
06/20/2024,51783.25,51712.9,51842.2,51281.5,235.94M,0.75%
06/19/2024,51398.05,50607.9,51957,50441.75,435.31M,1.90%
06/18/2024,50440.9,50194.35,50562.15,49900.2,189.24M,0.88%
06/14/2024,50002,49993.95,50102.6,49693.35,154.98M,0.31%
06/13/2024,49846.7,50179,50186.45,49799.65,125.68M,-0.10%
06/12/2024,49895.1,49857.45,50233.4,49697.35,211.73M,0.38%
